propertyType,address,city,zip,price,beds,baths,location,sqFt,lotsize,yearBuilt,daysOnMarket,pricePerSqFt,hoa,link,latitude,longitude
Single Family Residential,3306 Jubilee Trl,Dallas,75229,389000,4,2.5,Kenilworth Estates,2372,11064,1964,124,164,,http://www.redfin.com/TX/Dallas/3306-Jubilee-Trl-75229/home/30931615,32.8997763,-96.8657279
Single Family Residential,718 Holliday Ln,Duncanville,75116,169750,3,1,Fairwoods 01,1032,7318,1980,4,164,,http://www.redfin.com/TX/Duncanville/718-Holliday-Ln-75116/home/31312716,32.6687123,-96.8932254
Single Family Residential,11124 Yorkspring Dr,Dallas,75218,449500,4,2.5,Lochwood Meadows,2745,10193,1968,4,164,,http://www.redfin.com/TX/Dallas/11124-Yorksprings-Pl-75218/home/31045761,32.859929,-96.691746
Single Family Residential,1416 Michigan Ave,Dallas,75216,285000,3,2.5,Cedar Oaks,1740,5358,1983,1,164,,http://www.redfin.com/TX/Dallas/1416-Michigan-Ave-75216/home/30835330,32.7306916,-96.8165735
Single Family Residential,9671 Lynbrook Dr,Dallas,75238,239000,3,2,Lake Highlands Estates,1474,9322,1959,166,162,,http://www.redfin.com/TX/Dallas/9671-Lynbrook-Dr-75238/home/31030749,32.878777,-96.7046273
Single Family Residential,1400 Seminole Dr,Richardson,75080,465000,4,2.5,Richardson Heights 16 Sec 02,2896,10890,1967,1,161,,http://www.redfin.com/TX/Richardson/1400-Seminole-Dr-75080/home/31965712,32.9691806,-96.7673418
Single Family Residential,6916 Leameadow Dr,Dallas,75248,445000,4,3,Prestonwood Estates,2780,12240,1969,4,160,,http://www.redfin.com/TX/Dallas/6916-Leameadow-Dr-75248/home/31075793,32.9539269,-96.7885113
Single Family Residential,7605 Queens Garden Dr,Dallas,75248,669000,6,4,Highlands North Sec 02,4227,14898,1978,4,158,,http://www.redfin.com/TX/Dallas/7605-Queens-Garden-Dr-75248/home/31112520,32.9812689,-96.7774446
Single Family Residential,8406 Maddox St,Dallas,75217,140000,2,1,Grovedale Heights Bl 6332,886,7144,1949,1,158,,http://www.redfin.com/TX/Dallas/8406-Maddox-St-75217/home/30923391,32.7330489,-96.676269
Single Family Residential,9306 Clearwater Dr,Dallas,75243,289900,3,2,Northwood Estates,1845,10019,1960,4,157,,http://www.redfin.com/TX/Dallas/9306-Clearwater-Dr-75243/home/31028428,32.903048,-96.750924
Single Family Residential,10849 Dixon Branch Dr,Dallas,75218,490000,3,2.5,Enclave & Wyrick Estates,3143,6229,2012,6,156,67,http://www.redfin.com/TX/Dallas/10849-Dixon-Branch-Dr-75218/home/30764005,32.8639266,-96.6953507
Single Family Residential,4045 Windhaven Ln,Dallas,75287,317400,3,2,Bently Court,2036,5663,1985,4,156,,http://www.redfin.com/TX/Dallas/4045-Windhaven-Ln-75287/home/32021655,33.0079305,-96.8421769
Single Family Residential,1209 Lakeridge Ln,Irving,75063,464900,4,3,Hollows Of Valley Ranch Sec 04,2988,9627,1998,3,156,57,http://www.redfin.com/TX/Irving/1209-Lakeridge-Ln-75063/home/31678537,32.9422806,-96.9650791
Townhouse,1947 Lantana Ln,Irving,75063,299000,3,2.5,Emerald Valley Ph 03,1931,2309,2007,5,155,181,http://www.redfin.com/TX/Irving/1947-Lantana-Ln-75063/home/30768580,32.9233967,-96.9694637
Single Family Residential,8006 Claremont Dr,Dallas,75228,265000,3,2,Claremont 01 Inst,1710,12981,1960,5,155,,http://www.redfin.com/TX/Dallas/8006-Claremont-Dr-75228/home/30967067,32.7984797,-96.7096631
Single Family Residential,1419 Santa Fe Trl,Irving,75063,420000,4,3,Irving,2709,6882,1997,1,155,45,http://www.redfin.com/TX/Irving/1419-Santa-Fe-Trl-75063/home/31765903,32.9348237,-96.9664427
Single Family Residential,13334 Flagstone Ln,Dallas,75240,230000,3,2,Spring Valley Park 02,1497,8494,1957,4,154,,http://www.redfin.com/TX/Dallas/13334-Flagstone-Ln-75240/home/31026026,32.9296131,-96.7727172
Single Family Residential,11726 Abston Ln,Dallas,75218,214900,3,1,Gaston Park,1404,7144,1952,6,153,,http://www.redfin.com/TX/Dallas/11726-Abston-Ln-75218/home/30934433,32.862346,-96.6777414
Single Family Residential,3705 Strayhorn Dr,Mesquite,75150,228000,4,2,Country Club Estates,1490,7449,1957,4,153,,http://www.redfin.com/TX/Mesquite/3705-Strayhorn-Dr-75150/home/31823001,32.834152,-96.6545204
Townhouse,7407 Coronado Way,Dallas,75214,379900,2,2.5,Sjb Add,2502,1263,2008,68,152,50,http://www.redfin.com/TX/Dallas/7407-Coronado-Way-75214/home/30781061,32.8082459,-96.730715
Single Family Residential,1830 Berkley Ave,Dallas,75224,200000,2,1,Elmwood Add,1312,7013,1950,27,152,,http://www.redfin.com/TX/Dallas/1830-Berkley-Ave-75224/home/30849924,32.7240324,-96.850951
Single Family Residential,2248 Dorrington Dr,Dallas,75228,350000,4,2,Somerset Heights,2308,12807,1971,4,152,,http://www.redfin.com/TX/Dallas/2248-Dorrington-Dr-75228/home/30966247,32.8068412,-96.7092034
Single Family Residential,7109 Bluefield Dr,Dallas,75248,385000,4,3,Prestonwood,2556,8233,1973,4,151,,http://www.redfin.com/TX/Dallas/7109-Bluefield-Dr-75248/home/31079864,32.9724265,-96.7834065
Single Family Residential,637 Tiffany Trl,Richardson,75081,389000,3,3,Richland Park East 02 Sec Rev,2578,9017,1976,1,151,,http://www.redfin.com/TX/Richardson/637-Tiffany-Trl-75081/home/31975089,32.9296057,-96.7196732
Single Family Residential,7350 Highland Glen Trl,Dallas,75248,397000,3,2.5,Highland Square,2640,2919,1981,4,150,,http://www.redfin.com/TX/Dallas/7350-Highland-Glen-Trl-75248/home/31153776,32.9865766,-96.7793063
Single Family Residential,10050 Mill Valley Ln,Dallas,75217,135000,3,1.5,Pleasant Valley,900,8189,1970,4,150,,http://www.redfin.com/TX/Dallas/10050-Mill-Valley-Ln-75217/home/31053148,32.7133824,-96.6498856
Single Family Residential,1013 S Glasgow Dr,Dallas,75223,315000,4,4,Mount Auburn,2102,7231,1947,3,150,,http://www.redfin.com/TX/Dallas/1013-S-Glasgow-Dr-75223/home/30801227,32.7989475,-96.7442408
Single Family Residential,8607 Lohr Valley Rd,Irving,75063,480000,4,3,Emerald Valley 01,3225,5053,2007,104,149,80,http://www.redfin.com/TX/Irving/8607-Lohr-Valley-Rd-75063/home/30768700,32.9224012,-96.9716037
Single Family Residential,3616 Highpoint Dr,Rockwall,75087,329900,3,2.5,Lakeside Village #4,2209,6621,1992,5,149,128,http://www.redfin.com/TX/Rockwall/3616-Highpoint-Dr-75087/home/33912821,32.899917,-96.479498
Single Family Residential,5807 Regatta Cir,Dallas,75232,185000,3,2,England Estates,1242,15507,1982,1,149,,http://www.redfin.com/TX/Dallas/5807-Regatta-Cir-75232/home/30954835,32.6763407,-96.8445431
Multi-Family (2-4 Unit),521 Melba St,Dallas,75208,350000,4,,Dallas Land & Loan 02,2368,6316,1945,43,148,,http://www.redfin.com/TX/Dallas/521-Melba-St-75208/home/30826317,32.7474328,-96.8312108
Single Family Residential,2618 Sharpview Ln,Dallas,75228,349900,5,2.5,Buckner Terrace 2nd Sec 3rd Inst,2375,11500,1963,6,147,,http://www.redfin.com/TX/Dallas/2618-Sharpview-Ln-75228/home/31102349,32.7958943,-96.7063198
Condo/Co-op,7031 Holly Hill Dr #4,Dallas,75231,187500,2,2.5,Holly Hill Twnhms Ph 02,1283,55103,1979,5,146,250,http://www.redfin.com/TX/Dallas/7031-Holly-Hill-Dr-75231/unit-4/home/30858640,32.8731839,-96.7625461
Single Family Residential,117 Highview Ln,Rockwall,75087,325000,3,2.5,Northshore Ph 4,2237,10019,1988,1,145,,http://www.redfin.com/TX/Rockwall/117-Highview-Ln-75087/home/33930674,32.9318397,-96.4717204
Single Family Residential,2315 Blyth Dr,Dallas,75228,169999,3,1,Casa Terrace,1182,7318,1955,68,144,,http://www.redfin.com/TX/Dallas/2315-Blyth-Dr-75228/home/31007823,32.813517,-96.6762377
Single Family Residential,10118 Branwood Ln,Dallas,75243,289900,3,2,Richland Meadows,2018,12676,1976,5,144,,http://www.redfin.com/TX/Dallas/10118-Branwood-Ln-75243/home/31102195,32.9186921,-96.7094959
Multi-Family (5+ Unit),Lakeview Pkwy,Rowlett,75088,864785,10,3,,6000,,1982,1,144,1016,http://www.redfin.com/TX/Rowlett/Lakeview-Pkwy-75088/home/169880668,32.907465,-96.548431
Single Family Residential,9951 La Prada Dr,Dallas,75228,229000,4,2.5,Shiloh Park 02,1606,9714,1958,6,143,,http://www.redfin.com/TX/Dallas/9951-La-Prada-Dr-75228/home/31009170,32.8253265,-96.6629141
Single Family Residential,6829 Marla Dr,Dallas,75217,209000,3,2,Pleasantwood,1469,7623,1960,6,142,,http://www.redfin.com/TX/Dallas/6829-Marla-Dr-75217/home/30919655,32.7146747,-96.7037811
Condo/Co-op,6900 Skillman St #704,Dallas,75231,136900,2,2,Skillman Bend Condo,964,169013,1981,4,142,374,http://www.redfin.com/TX/Dallas/6900-Skillman-St-75231/unit-704/home/31066629,32.8706951,-96.7344161
Single Family Residential,1002 Greenbriar Dr,Garland,75043,210000,4,2,New World 02,1482,18687,1969,4,142,,http://www.redfin.com/TX/Garland/1002-Greenbriar-Dr-75043/home/31438112,32.8494449,-96.6358161
Single Family Residential,10183 San Lorenzo Dr,Dallas,75228,229000,3,1.5,Casa View Oaks 03,1608,8102,1954,1,142,,http://www.redfin.com/TX/Dallas/10183-San-Lorenzo-Dr-75228/home/30969337,32.8324525,-96.6806655
Single Family Residential,3332 Ivy Dr,Mesquite,75150,300000,5,2,St Andrews 07,2130,11108,1962,6,141,,http://www.redfin.com/TX/Mesquite/3332-Ivy-Dr-75150/home/31887070,32.8338977,-96.6469211
Single Family Residential,6016 Belmont Ave,Dallas,75206,459000,4,4,Belmont Sub,3254,9888,1955,1,141,,http://www.redfin.com/TX/Dallas/6016-Belmont-Ave-75206/home/30806617,32.8170252,-96.7629289
Single Family Residential,6337 Green Valley Dr,Garland,75043,198900,3,2,Oaks 02,1436,7318,1975,5,139,,http://www.redfin.com/TX/Garland/6337-Green-Valley-Dr-75043/home/31452181,32.8373545,-96.583156
Single Family Residential,8917 Rustown Dr,Dallas,75228,159900,3,1.5,Cloverdale 05,1156,8015,1957,6,138,,http://www.redfin.com/TX/Dallas/8917-Rustown-Dr-75228/home/31001515,32.8148549,-96.6778876
Single Family Residential,9683 Whitehurst Dr,Dallas,75243,459900,5,3,Town Creek,3324,10672,1973,4,138,,http://www.redfin.com/TX/Dallas/9683-Whitehurst-Dr-75243/home/31070681,32.9015029,-96.7284816
Single Family Residential,6463 Wofford Ave,Dallas,75227,99000,2,1,Parkdale Heights Rev,720,8886,1949,3,138,,http://www.redfin.com/TX/Dallas/6463-Wofford-Ave-75227/home/30884158,32.770129,-96.7094646
Condo/Co-op,10100 Regal Park Ln #122,Dallas,75230,195000,2,2,Ambassador House Condos,1421,100014,1963,181,137,656,http://www.redfin.com/TX/Dallas/10100-Regal-Park-Ln-75230/unit-122/home/30998539,32.884656,-96.7721857
Multi-Family (5+ Unit),5401 Lindsley Ave,Dallas,75223,375000,0,4,East We Go,2740,8581,1922,4,137,,http://www.redfin.com/TX/Dallas/5401-Lindsley-Ave-75223/home/30800495,32.7949306,-96.7527864
Condo/Co-op,14151 Montfort Dr #329,Dallas,75254,180000,2,2,Lifescape Villas On Montfort,1323,419483,1981,4,136,353,http://www.redfin.com/TX/Dallas/14151-Montfort-Dr-75254/unit-329/home/31174223,32.9407408,-96.8143444
Single Family Residential,2608 Healey Dr,Dallas,75228,289000,4,3,Peavy Park,2142,10019,1954,4,135,,http://www.redfin.com/TX/Dallas/2608-Healey-Dr-75228/home/30739277,32.8246267,-96.6707033
Single Family Residential,4426 Jamaica St,Dallas,75210,185000,3,2.5,Magnolia Park,1393,4312,2019,7,133,,http://www.redfin.com/TX/Dallas/4426-Jamaica-St-75210/home/30815858,32.776573,-96.745209
Condo/Co-op,845 Dublin Dr #3,Richardson,75080,174000,3,2.5,Waterfall Crossing Condo,1304,427324,1980,6,133,285,http://www.redfin.com/TX/Richardson/845-Dublin-Dr-75080/unit-3/home/31988046,32.9438643,-96.7627854
Single Family Residential,8581 Hanford Dr,Dallas,75243,240000,4,2,Northwood Estates,1811,10149,1970,1,133,,http://www.redfin.com/TX/Dallas/8581-Hanford-Dr-75243/home/31028485,32.9033555,-96.7566509
Single Family Residential,3453 Livingston Ln,Carrollton,75007,250000,3,2,Countryside Sec 1,1900,7797,1978,12,132,,http://www.redfin.com/TX/Carrollton/3453-Livingston-Ln-75007/home/32955085,33.01129,-96.8682932
Single Family Residential,1631 Thomaswood Ln,Dallas,75253,159900,3,1,Highland Vista Estates,1208,5009,1986,6,132,,http://www.redfin.com/TX/Dallas/1631-Thomaswood-Ln-75253/home/31159241,32.6833759,-96.6027524
Single Family Residential,4928 Eastgate Cir,Dallas,75216,150000,3,1.5,Horizon Estates,1139,8102,1960,5,132,,http://www.redfin.com/TX/Dallas/4928-Eastgate-Cir-75216/home/30852475,32.6894791,-96.7886577
Condo/Co-op,5702 Marvin Loving Dr #201,Garland,75043,105000,1,1,Faulkner,798,181035,1982,1,132,229,http://www.redfin.com/TX/Garland/5702-Marvin-Loving-Dr-75043/unit-201/home/31385699,32.8585059,-96.5461925
Single Family Residential,14113 Greenhaw Ln,Dallas,75253,211900,3,2.5,Shady Oaks,1615,5314,2019,4,131,25,http://www.redfin.com/TX/Dallas/14113-Greenhaw-Ln-75253/home/30775195,32.6784899,-96.587277
Single Family Residential,3436 Lark Meadow Way,Dallas,75287,324900,3,2.5,Meadow Glen,2492,5445,1994,117,130,4,http://www.redfin.com/TX/Dallas/3436-Lark-Meadow-Way-75287/home/32829482,32.9905127,-96.8593796
Townhouse,13861 Leinsper Green St,Dallas,75240,215000,3,2.5,Brookgreen Townhosue 02,1650,3136,1969,6,130,246,http://www.redfin.com/TX/Dallas/13861-Leinsper-Green-Dr-75240/home/31047684,32.933574,-96.766005
Single Family Residential,6009 Davenport Rd,Dallas,75248,299000,3,2,Preston Port Estates,2295,7623,1977,5,130,,http://www.redfin.com/TX/Dallas/6009-Davenport-Rd-75248/home/31084952,32.976525,-96.8030745
Single Family Residential,2510 S Marsalis Ave,Dallas,75216,155000,3,1,Trinity Heights,1196,7492,1924,5,130,,http://www.redfin.com/TX/Dallas/2510-S-Marsalis-Ave-75216/home/30834148,32.7174695,-96.8142711
Single Family Residential,5237 Terry St,Dallas,75223,250000,3,2,Caldwells R D,1922,10890,1920,5,130,,http://www.redfin.com/TX/Dallas/5237-Terry-St-75223/home/30796402,32.7958965,-96.756942
Single Family Residential,1630 Kiltartan Dr,Dallas,75228,339000,3,3,Lake Park Estates 6,2634,17468,1957,1,129,,http://www.redfin.com/TX/Dallas/1630-Kiltartan-Dr-75228/home/31013116,32.8239614,-96.6860546
Single Family Residential,7908 Woodshire Dr,Dallas,75232,159900,4,2,Polk Terrace 10,1248,12458,1960,6,128,,http://www.redfin.com/TX/Dallas/7908-Woodshire-Dr-75232/home/31029683,32.6517711,-96.8391409
Single Family Residential,5834 Macgregor Dr,Garland,75043,320000,4,2.5,Lyons Crest Estates,2502,8581,2017,1,128,,http://www.redfin.com/TX/Garland/5834-MacGregor-Dr-75043/home/31419822,32.8349685,-96.565932
Single Family Residential,2819 Meadow Way Ln,Dallas,75228,196350,3,2.5,Ash Creek Add,1551,5271,1994,5,127,,http://www.redfin.com/TX/Dallas/2819-Meadow-Way-Ln-75228/home/31149486,32.8133849,-96.6795377
Condo/Co-op,8545 Midpark Rd #3,Dallas,75240,89000,1,1,Parkwood Creek Condos,703,150935,1982,4,127,170,http://www.redfin.com/TX/Dallas/8545-Midpark-Rd-75240/unit-3/home/31178817,32.936657,-96.7577934
Single Family Residential,4745 Coyote Trl,Dallas,75227,359000,3,2.5,Enclave At Wooded Creek,2822,7884,2018,2,127,,http://www.redfin.com/TX/Dallas/4745-Coyote-Trl-75227/home/169882826,32.778736,-96.700953
Single Family Residential,8158 Reva St,Dallas,75227,160000,3,1,Gertie Andrews Add,1256,8886,1956,1,127,,http://www.redfin.com/TX/Dallas/8158-Reva-St-75227/home/30913486,32.7560391,-96.6802791
Single Family Residential,812 Arbol Verde Ct,Dallas,75217,169900,3,2,Montecito Plaza,1353,6447,2006,4,126,,http://www.redfin.com/TX/Dallas/812-Arbol-Verde-Ct-75217/home/30761196,32.6996954,-96.6561907
Condo/Co-op,18040 Midway Rd Unit 111DD,Dallas,75287,150000,2,2,Midway Villas,1194,,1984,4,126,288,http://www.redfin.com/TX/Dallas/18040-Midway-Rd-75287/unit-111DD/home/31996689,32.995254,-96.841869
Single Family Residential,14157 Stallion Ridge Dr,Dallas,75253,199900,3,2,Shady Oaks Estates,1591,6011,2018,1,126,25,http://www.redfin.com/TX/Dallas/14157-Stallion-Ridge-Dr-75253/home/169392182,32.6771752,-96.589322
Multi-Family (2-4 Unit),1414 Record Crossing Rd,Dallas,75235,459000,9,6,Arlington Park Estates Sec 04,3680,9757,2004,4,125,,http://www.redfin.com/TX/Dallas/1414-Record-Crossing-Rd-75235/home/30880360,32.8158494,-96.859576
Single Family Residential,3001 Faulkner Dr,Rowlett,75088,479000,5,3,Toler Bay,3847,9801,1984,3,125,75,http://www.redfin.com/TX/Rowlett/3001-Faulkner-Dr-75088/home/32025401,32.8792829,-96.57446
Single Family Residential,6209 SILVERY MOON,Dallas,75241,164900,4,1,Singing Hills-Symphony,1321,7667,1962,2,125,,http://www.redfin.com/TX/Dallas/6209-Silvery-Moon-Dr-75241/home/30951335,32.6716672,-96.8044766
Single Family Residential,17832 River Chase Dr,Dallas,75287,275000,4,2,Bent Tree Hills,2214,7492,1994,6,124,,http://www.redfin.com/TX/Dallas/17832-River-Chase-Dr-75287/home/32835321,32.9926722,-96.8505531
Single Family Residential,7005 Wax Berry Dr,Dallas,75249,199000,4,2,Woodberry Creek,1610,4269,2017,5,124,,http://www.redfin.com/TX/Dallas/7005-Wax-Berry-Dr-75249/home/30744271,32.6352198,-96.9439724
Single Family Residential,4613 Burdock Dr,Garland,75043,239000,3,2,Candlestick Cove 02,1933,8015,1978,5,124,,http://www.redfin.com/TX/Garland/4613-Burdock-Dr-75043/home/31358658,32.8608352,-96.5616163
Single Family Residential,7301 Bayberry Ln,Dallas,75249,235000,5,2.5,Sugarberry Hill,1904,9017,1978,4,123,,http://www.redfin.com/TX/Dallas/7301-Bayberry-Ln-75249/home/31113613,32.6446977,-96.947942
Single Family Residential,10607 Allegheny Dr,Dallas,75229,219900,3,2,Walnut Hills 4th Inst,1782,7492,1958,4,123,,http://www.redfin.com/TX/Dallas/10607-Allegheny-Dr-75229/home/30933857,32.891235,-96.8816563
Single Family Residential,2139 Hulse Blvd,Dallas,75203,209900,4,2.5,Hulse Geo,1700,7362,2019,3,123,,http://www.redfin.com/TX/Dallas/2139-Hulse-Blvd-75203/home/30889323,32.737046,-96.79426
Single Family Residential,117 Walnut Dr,Seagoville,75159,180000,4,2,Oakridge Estates,1491,6011,2001,6,121,,http://www.redfin.com/TX/Seagoville/117-Walnut-Dr-75159/home/32276028,32.6670434,-96.588078
Single Family Residential,2219 Kathleen Ave,Dallas,75216,175000,4,2,Easterview,1450,6665,1949,5,121,,http://www.redfin.com/TX/Dallas/2219-Kathleen-Ave-75216/home/30887062,32.7049972,-96.7916287
Condo/Co-op,1116 Signal Ridge Pl,Rockwall,75032,219900,3,2,Signal Ridge #3,1825,5401,1985,5,120,220,http://www.redfin.com/TX/Rockwall/1116-Signal-Ridge-Pl-75032/home/33934066,32.8859865,-96.4785305
Single Family Residential,134 Couch Ln,Cedar Hill,75104,249000,5,2.5,Creekside At High Pointe,2124,6055,1990,4,117,,http://www.redfin.com/TX/Cedar-Hill/134-Couch-Ln-75104/home/31238718,32.6232699,-96.9397631
Single Family Residential,907 Brae Loch Dr,Dallas,75217,165000,3,2,Heritage Square 04 Ph 02,1412,5097,1990,4,117,,http://www.redfin.com/TX/Dallas/907-Brae-Loch-Dr-75217/home/31141925,32.7266088,-96.653059
Single Family Residential,2247 Macon St,Dallas,75215,130000,3,1,Ervay Cedars Add,1120,6142,1923,4,116,,http://www.redfin.com/TX/Dallas/2247-Macon-St-75215/home/30817005,32.7476044,-96.757307
Single Family Residential,1562 N Atoll Dr,Dallas,75216,165000,3,2,Cedar Crest Village 02,1430,7928,1949,5,115,,http://www.redfin.com/TX/Dallas/1562-N-Atoll-Dr-75216/home/30903968,32.7150677,-96.8010865
Single Family Residential,7733 Tillman St,Dallas,75217,135000,3,1.5,Bruton Terrace,1170,8059,1954,1,115,,http://www.redfin.com/TX/Dallas/7733-Tillman-St-75217/home/30915630,32.7447375,-96.6894804
Condo/Co-op,3045 Park Ln #1034,Dallas,75220,110000,2,2,Park Lane Twnhms Ph 01,969,397485,1969,5,114,532,http://www.redfin.com/TX/Dallas/3045F-Park-Ln-75220/unit-1034/home/30932897,32.875977,-96.8752641
Single Family Residential,1654 Sax Leigh Dr,Dallas,75241,180000,3,2,Village Of Runyon Spgs,1611,4966,2004,3,112,8,http://www.redfin.com/TX/Dallas/1654-Sax-Leigh-Dr-75241/home/30741150,32.6694945,-96.7943069
Single Family Residential,730 Elkhart Ave,Dallas,75217,209900,3,2,Home Garden Add #3,1900,7231,2016,6,110,,http://www.redfin.com/TX/Dallas/730-Elkhart-Ave-75217/home/30918729,32.7255726,-96.7128812
Single Family Residential,2920 St David Dr,Dallas,75233,265000,4,2,Dallas,2441,14915,2006,4,109,,http://www.redfin.com/TX/Dallas/2920-St-David-Dr-75233/home/30763092,32.7117937,-96.8700109
Condo/Co-op,9839 Walnut St #111,Dallas,75243,60000,1,1,Richland Trace Condos,551,383938,1984,4,109,150,http://www.redfin.com/TX/Dallas/9839-Walnut-St-75243/unit-111/home/31183464,32.923751,-96.7128185
Single Family Residential,7323 Oakstone Dr,Dallas,75249,209000,3,2,Woods 11,1911,6665,1979,4,109,,http://www.redfin.com/TX/Dallas/7323-Oakstone-Dr-75249/home/31116046,32.6323587,-96.9502071
Single Family Residential,2211 Marburg St,Dallas,75215,179900,3,2,M Irwins Bl B-1757,1668,6970,2019,1,108,,http://www.redfin.com/TX/Dallas/2211-Marburg-St-75215/home/30803884,32.7513901,-96.7622986
Single Family Residential,1806 Lake Breeze Dr,Rockwall,75087,355000,4,3.5,Hillcrest Shores,3345,9191,1994,117,106,,http://www.redfin.com/TX/Rockwall/1806-Lake-Breeze-Dr-75087/home/33932659,32.9391684,-96.480444
Single Family Residential,3107 S Marsalis Ave. Ave,Dallas,75216,238000,5,3,Marsalis Club,2238,12589,2019,3,106,,http://www.redfin.com/TX/Dallas/3107-S-Marsalis-Ave-75216/home/30895388,32.707242,-96.815005
Single Family Residential,2619 Wilhurt Ave,Dallas,75216,238000,5,3,Lisbon Heights,2238,12589,2019,3,106,,http://www.redfin.com/TX/Dallas/2619-Wilhurt-Ave-75216/home/30887499,32.704904,-96.782057
Single Family Residential,4910 Burnside Ave,Dallas,75216,179999,4,2,Glendale Acres,1719,11935,2019,3,105,,http://www.redfin.com/TX/Dallas/4910-Burnside-Ave-75216/home/30844873,32.687294,-96.795129
Single Family Residential,6923 Chackbay Ln,Dallas,75227,355000,4,3.5,Enclave at Grove Hill,3428,7492,2003,188,104,53,http://www.redfin.com/TX/Dallas/6923-Chackbay-Ln-75227/home/30740519,32.788901,-96.715975
Condo/Co-op,9910 Royal Ln #502,Dallas,75231,90000,1,1.5,Glen Oaks Twnhms Condo,876,277782,1981,4,103,242,http://www.redfin.com/TX/Dallas/9910-Royal-Ln-75231/unit-502/home/31127505,32.8944189,-96.7170569
Single Family Residential,8502 Victory St,Rowlett,75089,267900,4,2.5,Champion Lakes,2660,10106,2002,4,101,21,http://www.redfin.com/TX/Rowlett/8502-Victory-St-75089/home/32269250,32.9359101,-96.5182462
Single Family Residential,110 Oakhurst Dr,Seagoville,75159,189900,4,2,Oakridge South,1876,6316,2004,1,101,,http://www.redfin.com/TX/Seagoville/110-Oakhurst-Dr-75159/home/30757945,32.6616828,-96.5914152
Single Family Residential,4727 Haas Dr,Dallas,75216,117900,3,1,Ann Arbor,1176,9104,1953,3,100,,http://www.redfin.com/TX/Dallas/4727-Haas-Dr-75216/home/30886157,32.7022403,-96.7670699
Condo/Co-op,9737 Whitehurst Dr #7,Dallas,75243,57289,1,1,Twin Oaks Collection Condos,573,96093,1983,1,100,157,http://www.redfin.com/TX/Dallas/9737-Whitehurst-Dr-75243/unit-7/home/31189058,32.9013071,-96.7273321
Condo/Co-op,9737 Whitehurst Dr #5,Dallas,75243,57289,1,1,Twin Oaks Collection Condos,573,96093,1983,1,100,157,http://www.redfin.com/TX/Dallas/9737-Whitehurst-Dr-75243/unit-5/home/31189044,32.9013071,-96.7273321
Condo/Co-op,9737 Whitehurst Dr #43,Dallas,75243,57289,1,1,Twin Oaks Collection Condos,573,96093,1983,1,100,157,http://www.redfin.com/TX/Dallas/9737-Whitehurst-Dr-75243/unit-43/home/31188961,32.9013658,-96.7253341
Condo/Co-op,9737 Whitehurst Dr #1,Dallas,75243,57289,1,1,Twin Oaks Collection Condos,573,96093,1983,1,100,157,http://www.redfin.com/TX/Dallas/9737-Whitehurst-Dr-75243/unit-1/home/31189048,32.9013071,-96.7273321
